,datetime,open,high,low,close,volume
816,2025-03-16 00:00:00,173.0,173.25,172.37,173.22,23.894
817,2025-03-16 00:30:00,173.14,173.58,172.88,172.97,28.8214
818,2025-03-16 01:00:00,172.96,173.37,171.62,171.87,42.6717
819,2025-03-16 01:30:00,171.71,171.81,170.26,170.41,79.1729
820,2025-03-16 02:00:00,170.25,170.67,169.59,170.37,73.7311
821,2025-03-16 02:30:00,170.36,171.03,169.81,170.16,39.3688
822,2025-03-16 03:00:00,170.24,171.56,170.01,171.56,40.0404
823,2025-03-16 03:30:00,171.55,172.04,171.32,171.97,30.9098
824,2025-03-16 04:00:00,172.04,172.49,171.66,171.95,16.7223
825,2025-03-16 04:30:00,172.0,172.54,171.63,172.54,14.3379
826,2025-03-16 05:00:00,172.54,173.52,172.37,173.51,22.7752
827,2025-03-16 05:30:00,173.51,173.66,172.95,173.55,49.3568
828,2025-03-16 06:00:00,173.47,173.72,173.11,173.49,18.0087
829,2025-03-16 06:30:00,173.48,173.77,173.15,173.21,15.6747
830,2025-03-16 07:00:00,173.15,173.25,171.8,172.45,40.3982
831,2025-03-16 07:30:00,172.47,173.94,172.44,173.79,85.6869
832,2025-03-16 08:00:00,173.79,174.05,172.64,172.67,44.4744
833,2025-03-16 08:30:00,172.69,173.83,172.65,173.59,30.9775
834,2025-03-16 09:00:00,173.66,173.83,171.93,171.97,43.6678
835,2025-03-16 09:30:00,171.96,172.29,170.6,171.08,94.4233
836,2025-03-16 10:00:00,171.07,171.65,170.07,170.22,30.7382
837,2025-03-16 10:30:00,170.22,170.34,169.73,169.95,28.1449
838,2025-03-16 11:00:00,169.87,169.87,166.31,166.54,120.4251
839,2025-03-16 11:30:00,166.44,166.75,164.62,165.01,413.8859
840,2025-03-16 12:00:00,165.05,166.49,164.8,166.49,66.947
841,2025-03-16 12:30:00,166.42,166.42,165.0,165.14,33.3716
842,2025-03-16 13:00:00,165.08,166.25,165.0,165.43,29.4438
843,2025-03-16 13:30:00,165.48,166.04,163.82,164.13,42.2428
844,2025-03-16 14:00:00,164.15,165.39,164.07,164.78,29.1554
845,2025-03-16 14:30:00,164.69,166.12,163.83,166.12,56.3151
846,2025-03-16 15:00:00,166.13,166.43,164.73,164.73,43.1637
847,2025-03-16 15:30:00,164.74,165.59,164.13,165.38,37.497
848,2025-03-16 16:00:00,165.34,169.01,165.13,168.94,131.7902
849,2025-03-16 16:30:00,169.01,169.21,166.88,167.4,48.9155
850,2025-03-16 17:00:00,167.35,168.9,167.35,167.92,28.7559
851,2025-03-16 17:30:00,167.82,168.58,167.3,168.43,32.6146
852,2025-03-16 18:00:00,168.42,168.72,167.31,167.97,23.9424
853,2025-03-16 18:30:00,167.85,168.11,166.54,167.03,22.9231
854,2025-03-16 19:00:00,167.12,167.13,163.73,165.26,70.7388
855,2025-03-16 19:30:00,165.17,165.33,164.35,164.79,25.9537
856,2025-03-16 20:00:00,164.88,166.28,164.7,165.18,27.916
857,2025-03-16 20:30:00,165.17,166.53,164.97,166.53,38.2241
858,2025-03-16 21:00:00,166.51,166.53,165.15,166.41,13.5613
859,2025-03-16 21:30:00,166.42,166.42,165.31,165.8,7.3309
860,2025-03-16 22:00:00,165.72,166.03,164.08,165.43,31.7747
861,2025-03-16 22:30:00,165.43,165.46,163.85,163.89,18.3404
862,2025-03-16 23:00:00,163.86,164.44,163.09,164.44,30.3498
863,2025-03-16 23:30:00,164.44,165.34,164.4,164.77,15.4891
864,2025-03-17 00:00:00,164.62,165.87,164.62,165.87,19.3766
865,2025-03-17 00:30:00,165.84,168.04,165.76,167.61,28.1505
866,2025-03-17 01:00:00,167.67,168.52,167.3,167.43,20.9794
867,2025-03-17 01:30:00,167.44,168.57,167.27,168.37,24.4844
868,2025-03-17 02:00:00,168.35,169.15,167.69,168.85,328.2792
869,2025-03-17 02:30:00,169.07,169.07,168.11,168.7,24.7832
870,2025-03-17 03:00:00,168.81,169.65,168.71,168.84,42.7537
871,2025-03-17 03:30:00,168.87,169.58,168.53,169.32,42.1387
872,2025-03-17 04:00:00,169.32,169.9,168.76,168.98,25.794
873,2025-03-17 04:30:00,168.92,169.19,168.23,168.48,34.7997
874,2025-03-17 05:00:00,168.49,168.52,167.59,168.22,28.6689
875,2025-03-17 05:30:00,168.23,168.36,167.16,167.16,29.5605
